cutoff,assembly_score
0.01209,0.0543
0.01209,0.0543
0.01209,0.0543
0.0121,0.05431
0.01212,0.05431
0.01212,0.05431
0.01214,0.05432
0.01215,0.05432
0.01215,0.05432
0.01216,0.05433
0.01216,0.05433
0.01216,0.05433
0.01218,0.05434
0.01218,0.05434
0.01218,0.05434
0.01219,0.05435
0.01219,0.05435
0.01219,0.05435
0.01219,0.05436
0.0122,0.05436
0.0122,0.05436
0.0122,0.05437
0.0122,0.05437
0.01222,0.05437
0.01222,0.05438
0.01222,0.05438
0.01222,0.05438
0.01222,0.05439
0.01222,0.05439
0.01222,0.05439
0.01223,0.0544
0.01223,0.0544
0.01224,0.0544
0.01224,0.05441
0.01226,0.05441
0.01226,0.05441
0.01226,0.05442
0.01227,0.05442
0.01227,0.05442
0.01229,0.05443
0.01229,0.05443
0.01229,0.05443
0.0123,0.05443
0.01231,0.05444
0.01232,0.05444
0.01233,0.05444
0.01234,0.05445
0.01234,0.05445
0.01235,0.05445
0.01235,0.05446
0.01235,0.05446
0.01237,0.05446
0.01238,0.05447
0.01239,0.05447
0.01239,0.05447
0.0124,0.05448
0.0124,0.05448
0.01241,0.05448
0.01241,0.05449
0.01242,0.05449
0.01243,0.05449
0.01244,0.0545
0.01245,0.0545
0.01246,0.0545
0.01246,0.05451
0.01246,0.05451
0.01247,0.05451
0.01248,0.05452
0.01249,0.05452
0.01249,0.05452
0.0125,0.05452
0.01251,0.05453
0.01253,0.05453
0.01254,0.05453
0.01254,0.05454
0.01254,0.05454
0.01255,0.05454
0.01255,0.05455
0.01257,0.05455
0.01259,0.05455
0.0126,0.05456
0.0126,0.05456
0.0126,0.05456
0.0126,0.05457
0.01261,0.05457
0.01261,0.05457
0.01262,0.05458
0.01263,0.05458
0.01264,0.05458
0.01264,0.05459
0.01265,0.05459
0.01266,0.05459
0.01266,0.0546
0.01267,0.0546
0.01268,0.0546
0.01269,0.05461
0.0127,0.05461
0.0127,0.05461
0.01273,0.05462
0.01273,0.05462
0.01273,0.05462
0.01273,0.05462
0.01275,0.05463
0.01275,0.05463
0.01275,0.05463
0.01275,0.05464
0.01275,0.05464
0.01276,0.05464
0.01276,0.05465
0.01276,0.05465
0.01277,0.05465
0.01278,0.05466
0.01278,0.05466
0.01278,0.05466
0.01279,0.05467
0.01279,0.05467
0.01279,0.05467
0.01279,0.05468
0.01279,0.05468
0.0128,0.05468
0.01281,0.05469
0.01281,0.05469
0.01281,0.05469
0.01282,0.0547
0.01282,0.0547
0.01282,0.0547
0.01284,0.05471
0.01284,0.05471
0.01284,0.05471
0.01284,0.05472
0.01286,0.05472
0.01286,0.05472
0.01286,0.05473
0.01287,0.05473
0.01288,0.05473
0.0129,0.05473
0.0129,0.05474
0.01291,0.05474
0.01293,0.05474
0.01293,0.05475
0.01293,0.05475
0.01294,0.05475
0.01294,0.05476
0.01294,0.05476
0.01295,0.05476
0.01296,0.05477
0.01296,0.05477
0.01297,0.05477
0.013,0.05478
0.013,0.05478
0.01302,0.05478
0.01303,0.05479
0.01305,0.05479
0.01306,0.05479
0.01307,0.0548
0.01307,0.0548
0.01307,0.0548
0.01308,0.05481
0.01309,0.05481
0.0131,0.05481
0.0131,0.05482
0.01311,0.05482
0.01312,0.05482
0.01313,0.05483
0.01313,0.05483
0.01313,0.05483
0.01313,0.05484
0.01314,0.05484
0.01314,0.05484
0.01315,0.05485
0.01315,0.05485
0.01316,0.05485
0.01316,0.05485
0.01316,0.05486
0.01317,0.05486
0.01317,0.05486
0.01318,0.05487
0.01318,0.05487
0.01319,0.05487
0.01323,0.05488
0.01324,0.05488
0.01324,0.05488
0.01324,0.05489
0.01325,0.05489
0.01325,0.05489
0.01326,0.0549
0.01327,0.0549
0.01327,0.0549
0.01328,0.05491
0.01329,0.05491
0.01329,0.05491
0.0133,0.05492
0.01331,0.05492
0.01332,0.05492
0.01332,0.05493
0.01335,0.05493
0.01336,0.05493
0.01336,0.05493
0.01338,0.05494
0.01339,0.05494
0.01339,0.05494
0.01342,0.05495
0.01342,0.05495
0.01343,0.05495
0.01343,0.05496
0.01344,0.05496
0.01344,0.05496
0.01344,0.05497
0.01345,0.05497
0.01345,0.05497
0.01347,0.05498
0.01349,0.05498
0.0135,0.05498
0.0135,0.05499
0.01351,0.05499
0.01351,0.05499
0.01352,0.055
0.01352,0.055
0.01352,0.055
0.01353,0.055
0.01353,0.05501
0.01354,0.05501
0.01355,0.05501
0.01355,0.05502
0.01356,0.05502
0.01356,0.05502
0.01357,0.05503
0.01358,0.05503
0.01358,0.05503
0.01359,0.05504
0.0136,0.05504
0.0136,0.05504
0.01361,0.05505
0.01363,0.05505
0.01363,0.05505
0.01363,0.05506
0.01364,0.05506
0.01364,0.05506
0.01364,0.05507
0.01365,0.05507
0.01365,0.05507
0.01366,0.05508
0.01366,0.05508
0.01366,0.05508
0.01368,0.05509
0.01369,0.05509
0.0137,0.05509
0.0137,0.0551
0.01371,0.0551
0.01371,0.0551
0.01373,0.05511
0.01373,0.05511
0.01375,0.05511
