cutoff,assembly_score
0.01381,0.05205
0.01382,0.05205
0.01383,0.05205
0.01383,0.05206
0.01384,0.05206
0.01384,0.05206
0.01385,0.05207
0.01386,0.05207
0.01386,0.05207
0.01386,0.05208
0.01387,0.05208
0.01388,0.05208
0.01389,0.05209
0.0139,0.05209
0.0139,0.05209
0.0139,0.05209
0.01391,0.0521
0.01391,0.0521
0.01391,0.0521
0.01392,0.05211
0.01392,0.05211
0.01394,0.05211
0.01395,0.05212
0.01396,0.05212
0.01396,0.05212
0.01396,0.05213
0.01397,0.05213
0.01399,0.05213
0.01399,0.05213
0.014,0.05214
0.01401,0.05214
0.01402,0.05214
0.01404,0.05215
0.01405,0.05215
0.01405,0.05215
0.01405,0.05216
0.01407,0.05216
0.01407,0.05216
0.01409,0.05217
0.01409,0.05217
0.01411,0.05217
0.01413,0.05217
0.01414,0.05218
0.01415,0.05218
0.01415,0.05218
0.01415,0.05219
0.01416,0.05219
0.01417,0.05219
0.01417,0.0522
0.01419,0.0522
0.01419,0.0522
0.0142,0.05221
0.01421,0.05221
0.01421,0.05221
0.01421,0.05222
0.01422,0.05222
0.01423,0.05222
0.01423,0.05222
0.01425,0.05223
0.01425,0.05223
0.01426,0.05223
0.01427,0.05224
0.01427,0.05224
0.01429,0.05224
0.0143,0.05225
0.01432,0.05225
0.01433,0.05225
0.01433,0.05226
0.01434,0.05226
0.01434,0.05226
0.01435,0.05226
0.01435,0.05227
0.01436,0.05227
0.01436,0.05227
0.01436,0.05228
0.01437,0.05228
0.01438,0.05228
0.01439,0.05229
0.01439,0.05229
0.01439,0.05229
0.01439,0.0523
0.0144,0.0523
0.0144,0.0523
0.01441,0.0523
0.01441,0.05231
0.01441,0.05231
0.01441,0.05231
0.01442,0.05232
0.01443,0.05232
0.01445,0.05232
0.01445,0.05233
0.01446,0.05233
0.01446,0.05233
0.01447,0.05233
0.01448,0.05234
0.01448,0.05234
0.01449,0.05234
0.01449,0.05235
0.01451,0.05235
0.01451,0.05235
0.01454,0.05236
0.01454,0.05236
0.01455,0.05236
0.01456,0.05236
0.01458,0.05237
0.0146,0.05237
0.0146,0.05237
0.0146,0.05238
0.01461,0.05238
0.01463,0.05238
0.01463,0.05239
0.01464,0.05239
0.01464,0.05239
0.01464,0.05239
0.01464,0.0524
0.01464,0.0524
0.01465,0.0524
0.01465,0.05241
0.01466,0.05241
0.0147,0.05241
0.0147,0.05242
0.0147,0.05242
0.01471,0.05242
0.01471,0.05242
0.01471,0.05243
0.01471,0.05243
0.01471,0.05243
0.01472,0.05244
0.01473,0.05244
0.01474,0.05244
0.01474,0.05245
0.01474,0.05245
0.01474,0.05245
0.01475,0.05246
0.01476,0.05246
0.01476,0.05246
0.01477,0.05246
0.01477,0.05247
0.01479,0.05247
0.0148,0.05247
0.01481,0.05248
0.01481,0.05248
0.01481,0.05248
0.01482,0.05249
0.01482,0.05249
0.01484,0.05249
0.01484,0.0525
0.01484,0.0525
0.01484,0.0525
0.01485,0.0525
0.01485,0.05251
0.01485,0.05251
0.01486,0.05251
0.01486,0.05252
0.01486,0.05252
0.01487,0.05252
0.01487,0.05253
0.01488,0.05253
0.01488,0.05253
0.01489,0.05253
0.01489,0.05254
0.0149,0.05254
0.0149,0.05254
0.01493,0.05255
0.01494,0.05255
0.01494,0.05255
0.01495,0.05256
0.01496,0.05256
0.01496,0.05256
0.01496,0.05257
0.01497,0.05257
0.01497,0.05257
0.01497,0.05257
0.01497,0.05258
0.01498,0.05258
0.01499,0.05258
0.01499,0.05259
0.01499,0.05259
0.01499,0.05259
0.01499,0.0526
0.01501,0.0526
0.01501,0.0526
0.01502,0.05261
0.01503,0.05261
0.01505,0.05261
0.01505,0.05261
0.01506,0.05262
0.01507,0.05262
0.01507,0.05262
0.01508,0.05263
0.01508,0.05263
0.01508,0.05263
0.0151,0.05264
0.01511,0.05264
0.01511,0.05264
0.01511,0.05265
0.01512,0.05265
0.01512,0.05265
0.01514,0.05265
0.01514,0.05266
0.01516,0.05266
0.01516,0.05266
0.01516,0.05267
0.01517,0.05267
0.01517,0.05267
0.01517,0.05268
0.01518,0.05268
0.01518,0.05268
0.01518,0.05269
0.01519,0.05269
0.0152,0.05269
0.0152,0.05269
0.0152,0.0527
0.0152,0.0527
0.01521,0.0527
0.01524,0.05271
0.01524,0.05271
0.01526,0.05271
0.01526,0.05272
0.01527,0.05272
0.01527,0.05272
