cutoff,assembly_score
0.01353,0.04843
0.01353,0.04843
0.01354,0.04843
0.01354,0.04844
0.01355,0.04844
0.01355,0.04844
0.01355,0.04845
0.01358,0.04845
0.01359,0.04845
0.01359,0.04846
0.01359,0.04846
0.0136,0.04847
0.0136,0.04847
0.01361,0.04847
0.01361,0.04848
0.01365,0.04848
0.01365,0.04848
0.01366,0.04849
0.01366,0.04849
0.01367,0.04849
0.01367,0.0485
0.01367,0.0485
0.01369,0.0485
0.01369,0.04851
0.0137,0.04851
0.01371,0.04851
0.01373,0.04852
0.01377,0.04852
0.01378,0.04852
0.01379,0.04853
0.01379,0.04853
0.0138,0.04853
0.0138,0.04784
0.01381,0.04784
0.01382,0.04785
0.01382,0.04785
0.01382,0.04785
0.01382,0.04786
0.01383,0.04786
0.01384,0.04786
0.01385,0.04765
0.01386,0.04766
0.01393,0.04766
0.01396,0.04766
0.01396,0.04767
0.01396,0.04767
0.01396,0.04767
0.01397,0.04768
0.01398,0.04768
0.01399,0.04768
0.014,0.04769
0.01406,0.04769
0.01407,0.04769
0.01408,0.0477
0.01408,0.0477
0.0141,0.0477
0.0141,0.04771
0.01412,0.04771
0.01412,0.04771
0.01412,0.04772
0.01412,0.04772
0.01414,0.04772
0.01416,0.04773
0.01417,0.04773
0.01417,0.04773
0.01417,0.04774
0.01417,0.04774
0.01418,0.04774
0.01418,0.04775
0.01419,0.04775
0.0142,0.04775
0.0142,0.04776
0.01422,0.04776
0.01422,0.04776
0.01422,0.04777
0.01423,0.04777
0.01424,0.04777
0.01425,0.04776
0.01426,0.04776
0.01427,0.04776
0.01428,0.04777
0.01428,0.04777
0.0143,0.04777
0.01431,0.04778
0.01431,0.04778
0.01431,0.04778
0.01432,0.04779
0.01432,0.04779
0.01435,0.04779
0.01435,0.0478
0.01436,0.0478
0.01436,0.0478
0.01438,0.04781
0.01439,0.04781
0.01439,0.04781
0.01439,0.04782
0.0144,0.04782
0.0144,0.04782
0.01441,0.04783
0.01441,0.04783
0.01441,0.04783
0.01442,0.04784
0.01442,0.04784
0.01443,0.04785
0.01444,0.04785
0.01446,0.04785
0.01449,0.04786
0.0145,0.04786
0.0145,0.04786
0.0145,0.04787
0.0145,0.04787
0.01452,0.04787
0.01455,0.04788
0.01457,0.04788
0.01457,0.04788
0.01458,0.04789
0.01459,0.04789
0.01459,0.04789
0.01461,0.0479
0.01463,0.0479
0.01463,0.0479
0.01463,0.0479
0.01464,0.04791
0.01465,0.04791
0.01465,0.04791
0.01467,0.04792
0.01468,0.04792
0.01468,0.04793
0.0147,0.04793
0.0147,0.04793
0.0147,0.04794
0.01471,0.04794
0.01471,0.04794
0.01474,0.04794
0.01474,0.04795
0.01474,0.04795
0.01475,0.04796
0.01478,0.04796
0.01479,0.04796
0.01479,0.04797
0.01479,0.04797
0.0148,0.04797
0.01481,0.04798
0.01482,0.04798
0.01483,0.04798
0.01484,0.04798
0.01484,0.04799
0.01485,0.04799
0.01488,0.04799
0.01488,0.048
0.01488,0.048
0.01491,0.048
0.01492,0.04801
0.01492,0.04801
0.01494,0.04801
0.01494,0.04802
0.01495,0.04802
0.01496,0.04802
0.01498,0.04803
0.01499,0.04803
0.01499,0.04804
0.01499,0.04804
0.01499,0.04804
0.01499,0.04805
0.015,0.04805
0.015,0.04805
0.015,0.04806
0.01501,0.04806
0.01502,0.04806
0.01502,0.04807
0.01502,0.04807
0.01503,0.04807
0.01504,0.04808
0.01504,0.04808
0.01506,0.04808
0.01507,0.04809
0.0151,0.04809
0.01512,0.04809
0.01516,0.0481
0.01518,0.0481
0.01519,0.0481
0.01519,0.0481
0.0152,0.04811
0.0152,0.04811
0.01523,0.04811
